snr_db,ofdm_cp_true_eq,ofdm_cp_ls_eq,ofdm_no_cp_true_eq,ofdm_cp_no_eq,pam_awgn_matched_filter,pam_multipath_matched_filter
-2.0,0.14368131868131867,0.24423076923076922,0.14824175824175825,0.17137362637362638,0.013186813186813187,0.2563736263736264
0.0,0.09901098901098901,0.21076923076923076,0.1078021978021978,0.12357142857142857,0.002087912087912088,0.2417032967032967
2.0,0.07021978021978022,0.12917582417582418,0.0734065934065934,0.09423076923076923,0.0,0.23692307692307693
4.0,0.04153846153846154,0.11093406593406593,0.048186813186813185,0.06335164835164835,0.0,0.24346153846153845
6.0,0.02521978021978022,0.04153846153846154,0.027527472527472528,0.04478021978021978,0.0,0.23236263736263738
8.0,0.016098901098901098,0.024175824175824177,0.02197802197802198,0.03230769230769231,0.0,0.24285714285714285
10.0,0.01032967032967033,0.035494505494505495,0.015494505494505494,0.02274725274725275,0.0,0.25043956043956045
12.0,0.008626373626373626,0.009615384615384616,0.012582417582417583,0.01703296703296703,0.0,0.23785714285714285
14.0,0.00434065934065934,0.0052197802197802195,0.010164835164835165,0.012802197802197803,0.0,0.24785714285714286
16.0,0.003241758241758242,0.0029670329670329672,0.009945054945054946,0.01120879120879121,0.0,0.2479120879120879
18.0,0.0019230769230769232,0.0018131868131868133,0.008901098901098902,0.008736263736263737,0.0,0.256043956043956
20.0,0.0006043956043956044,0.0007142857142857143,0.007802197802197802,0.005494505494505495,0.0,0.2501648351648352
22.0,0.0002747252747252747,0.00016483516483516484,0.006373626373626374,0.005549450549450549,0.0,0.24587912087912087
