n_cp,snr_db,ber_mean,ber_std,ber_se,ber_ci95,r_eff
0,18.0,0.008166666666666666,0.0009052102052903465,0.00020241115529557544,0.0003967258643793279,0.8125
2,18.0,0.0059134615384615384,0.0006536790953790943,0.00014616708927382233,0.0002864874949766918,0.7878787878787878
4,18.0,0.004282051282051282,0.000545357804997614,0.00012194571240347394,0.00023901359631080891,0.7647058823529411
6,18.0,0.0033205128205128207,0.0003677122395062971,8.22229563694764e-05,0.00016115699448417375,0.7428571428571429
8,18.0,0.0019455128205128204,0.00038420749851743053,8.591140841501243e-05,0.00016838636049342436,0.7222222222222222
10,18.0,0.001955128205128205,0.00018071203428936678,4.04084393023297e-05,7.920054103256622e-05,0.7027027027027027
12,18.0,0.0017596153846153844,0.0003382251607821895,7.562944512097716e-05,0.00014823371243711524,0.6842105263157895
13,18.0,0.0017179487179487182,0.0003927392156266739,8.781915835711904e-05,0.0001721255503799533,0.6753246753246753
14,18.0,0.001657051282051282,0.00026493504397990506,5.924127679609641e-05,0.00011611290252034896,0.6666666666666666
15,18.0,0.0016762820512820514,0.00030086541956839347,6.727555302339232e-05,0.00013186008392584894,0.6582278481012658
16,18.0,0.0017532051282051282,0.0002868827691636756,6.414893734233591e-05,0.00012573191719097838,0.65
20,18.0,0.0016858974358974362,0.00021321362648944197,4.767601625596421e-05,9.344499186168984e-05,0.6190476190476191
24,18.0,0.0015384615384615385,0.00037952091617920395,8.486345674596997e-05,0.00016633237522210116,0.5909090909090909
